[绘夏！烈日？度假村！其三「惊遇！等待众人的将是…？」] 过场动画绘夏！烈日？度假村！其三 惊遇！等待众人的将是···？ （燧石余火） 过场动画
[绘夏！烈日？度假村！其三「惊遇！等待众人的将是…？」] 过场动画绘夏！烈日？度假村！其三 惊遇！等待众人的将是···？  （热舞狂欢） 过场动画
[绘夏！烈日？度假村！其四「收幕！将夏夜染作缤纷！」] 获得娜娜丝梨饼
[绘夏！烈日？度假村！其四「收幕！将夏夜染作缤纷！」] 和朋友们共度了一段愉快的时光…
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 完成「目标！彩彩崖！」后完成该目标
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 孔沃和「律动魔匠」的场景对话
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 旅行者（难道说的是玛薇卡…？）
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 工作人员将蜜酿浓缩装置调整就位…
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 查帕莉朋友来了？稍等，我来启动设备。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 查帕莉谢谢杰出的冒险家们，我还有个不情之请。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 查帕莉我检查过设备了。这只骗骗花很有可能隐藏在醅幽花之中，换句话说，我们储藏区的原料出了问题。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 查帕莉如果各位愿意移步酒吧下层替我们清理这些碍事的伪装者，今日酒水费用一律免单。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 查帕莉辛苦你们，请稍等片刻，剩下的交给我就好。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 查帕莉各位，请移步观景台！
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 查帕莉马上来！
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 就着夕阳与美景，大家分享起旅途中的趣事…
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 直到酒足饭饱，直到星辰洒满头顶…
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 玛拉妮的场景对话
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 恰斯卡的场景对话
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 温迪的场景对话
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 班尼特的场景对话
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 完成测试！「暝导游船」！后完成该目标
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 完成测试！「阿夏快跑」！后完成该目标
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 潦草的笔记
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 那只阿夏真是我的扫把星，它为什么热衷于把花海染成邪门的颜色？昨天是紫色撞橙色，曲线扭得跟沙漠里的飞蛇一样。前天是红色撞绿色，色块里布满大大小小的圆圈，我瞥一眼就得停下来喘三口气，不然心跳都不对劲了。它或许自诩是位艺术家，但我觉得它的艺术前卫到家了。这谁看了受得了？
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 最近我所有的时间都在和它斗智斗勇。我想过能不能把它堵在外面，不让它进游玩区域，但这地方实在太大了，无从堵起。那我单独堵住它怎么样呢？等我架起围栏，才发现这家伙一跳跳得比匿叶龙还高。趁我一个没有盯防住，它又开始它的艺术工作了。我气啊，追又追不上，抓又抓不到。它在前面画，我在后面擦，好不容易清扫干净了，歇口气发现又给我画上了。它是跟我有仇吗？每天来来回回来来回回的，我敢说沃陆之邦那位知名健身教练那的运动量都不如这狠！
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 挺好的，留白吧，留白就是最大的美。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 我先去吃个饭，希望阿夏大人多给我一点时间…不然这活真的没法干了。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 加油，加油，旅行者！…
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 旅行者很强，我要变得更强…我想赢下这场比赛！
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 获得钥匙（重要道具）
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 与绵驮兽警长交互
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 字迹娟秀的笔记
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 我发现马坎尼又一次彻夜不眠…他恐怕还在想该如何向朋友们开口吧。我自然能够理解他的心情和处境，这个难题同样困扰了我不少时日。作为妻子，也作为最初的团员…
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 当年的画面犹在眼前。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 听说有位年轻人正在各地奔走，希望招募志同道合的同伴，组建一支冒险团。出于好奇，我跑去高台边张望，原本只是想去看看那人长什么样。结果大家都对来自沃陆之邦的毛头小子没兴趣，空地上聚集不了多少看客，我反倒成了最显眼的那个。
